Week,Cryptocurrency_gs,Bitcoin_gs,Ethereum_gs,XRP_gs,Dogecoin_gs
10/7/2018,3,9,1,1,<1
10/14/2018,2,9,1,1,<1
10/21/2018,2,8,1,1,<1
10/28/2018,2,8,1,1,<1
11/4/2018,2,8,1,1,<1
11/11/2018,2,10,1,1,<1
11/18/2018,3,14,1,1,<1
11/25/2018,2,15,1,1,<1
12/2/2018,2,11,1,1,<1
12/9/2018,2,11,1,1,<1
12/16/2018,2,12,1,1,<1
12/23/2018,2,10,1,1,<1
12/30/2018,2,9,1,1,<1
1/6/2019,2,9,1,1,<1
1/13/2019,2,8,1,<1,<1
1/20/2019,2,7,1,<1,<1
1/27/2019,2,8,1,<1,<1
2/3/2019,2,8,1,<1,<1
2/10/2019,2,7,1,<1,<1
2/17/2019,2,8,1,<1,<1
2/24/2019,2,8,1,1,<1
3/3/2019,2,7,1,<1,<1
3/10/2019,2,7,1,<1,<1
3/17/2019,2,7,1,<1,<1
3/24/2019,2,7,1,<1,<1
3/31/2019,2,12,1,1,<1
4/7/2019,2,10,1,<1,<1
4/14/2019,2,9,1,<1,<1
4/21/2019,2,10,1,<1,<1
4/28/2019,2,9,1,<1,<1
5/5/2019,2,12,1,<1,<1
5/12/2019,3,20,2,1,<1
5/19/2019,3,14,1,1,<1
5/26/2019,3,15,1,1,<1
6/2/2019,2,12,1,1,<1
6/9/2019,2,12,1,1,<1
6/16/2019,3,17,1,1,<1
6/23/2019,3,26,2,1,<1
6/30/2019,3,18,1,1,<1
7/7/2019,2,17,2,1,<1
7/14/2019,2,17,3,1,<1
7/21/2019,2,13,1,<1,<1
7/28/2019,2,13,1,<1,<1
8/4/2019,2,15,1,<1,<1
8/11/2019,2,14,1,<1,<1
8/18/2019,2,12,1,<1,<1
8/25/2019,2,37,1,<1,<1
9/1/2019,2,100,1,<1,<1
9/8/2019,2,58,1,<1,<1
9/15/2019,2,51,1,1,<1
9/22/2019,2,35,1,<1,<1
9/29/2019,2,10,1,<1,<1
10/6/2019,2,10,1,1,<1
10/13/2019,2,9,1,1,<1
10/20/2019,2,11,1,<1,<1
10/27/2019,2,11,1,1,<1
11/3/2019,2,10,1,1,<1
11/10/2019,2,8,1,<1,<1
11/17/2019,2,10,1,<1,<1
11/24/2019,2,10,1,<1,<1
12/1/2019,2,9,1,<1,<1
12/8/2019,2,8,1,<1,<1
12/15/2019,2,9,1,<1,<1
12/22/2019,2,9,1,<1,<1
12/29/2019,2,9,1,<1,<1
1/5/2020,2,11,1,1,<1
1/12/2020,2,11,1,1,<1
1/19/2020,2,10,1,1,<1
1/26/2020,2,11,1,1,<1
2/2/2020,2,11,1,1,<1
2/9/2020,3,13,2,1,<1
2/16/2020,2,11,1,1,<1
2/23/2020,2,12,1,1,<1
3/1/2020,2,11,1,<1,<1
3/8/2020,2,21,1,1,<1
3/15/2020,2,20,1,1,<1
3/22/2020,2,15,1,1,<1
3/29/2020,2,13,1,<1,<1
4/5/2020,2,13,1,<1,<1
4/12/2020,2,13,1,<1,<1
4/19/2020,2,13,1,<1,<1
4/26/2020,2,16,2,1,<1
5/3/2020,3,18,1,<1,<1
5/10/2020,3,21,1,<1,<1
5/17/2020,2,15,1,<1,<1
5/24/2020,2,13,1,<1,<1
5/31/2020,2,13,2,<1,<1
6/7/2020,2,11,1,<1,<1
6/14/2020,2,11,1,<1,<1
6/21/2020,2,11,1,<1,<1
6/28/2020,2,10,1,<1,<1
7/5/2020,2,10,1,<1,1
7/12/2020,3,12,1,<1,<1
7/19/2020,2,11,2,<1,<1
7/26/2020,3,17,3,1,<1
8/2/2020,3,16,3,1,<1
8/9/2020,3,14,3,1,<1
8/16/2020,3,13,2,1,<1
8/23/2020,3,12,2,1,<1
8/30/2020,3,13,3,1,<1
9/6/2020,3,12,2,<1,<1
9/13/2020,3,10,2,<1,<1
9/20/2020,2,10,2,<1,<1
9/27/2020,2,9,1,<1,<1
10/4/2020,2,9,1,<1,<1
10/11/2020,2,10,1,<1,<1
10/18/2020,2,14,1,<1,<1
10/25/2020,2,14,1,<1,<1
11/1/2020,2,16,2,<1,<1
11/8/2020,3,15,2,<1,<1
11/15/2020,3,23,2,1,<1
11/22/2020,4,26,4,3,<1
11/29/2020,4,22,3,2,<1
12/6/2020,3,17,2,2,<1
12/13/2020,4,27,3,2,<1
12/20/2020,5,28,3,3,1
12/27/2020,6,41,5,3,1
1/3/2021,9,66,12,3,2
1/10/2021,8,64,10,2,1
1/17/2021,7,42,8,2,1
1/24/2021,9,38,8,2,22
1/31/2021,12,35,10,6,16
2/7/2021,15,59,11,3,17
2/14/2021,14,58,10,3,8
2/21/2021,13,63,11,3,5
2/28/2021,10,43,7,1,3
3/7/2021,11,42,7,1,3
3/14/2021,13,43,7,1,3
3/21/2021,12,39,6,2,2
3/28/2021,13,36,8,2,2
4/4/2021,14,33,7,5,2
4/11/2021,21,43,10,8,28
4/18/2021,26,54,10,4,26
4/25/2021,18,41,10,4,12
5/2/2021,27,36,19,4,36
5/9/2021,34,45,20,4,37
5/16/2021,31,79,19,4,17
5/23/2021,21,60,14,3,10
5/30/2021,16,40,10,2,9
6/6/2021,14,43,8,2,6
6/13/2021,11,33,6,1,4
6/20/2021,12,41,8,1,6
6/27/2021,10,30,7,1,4
7/4/2021,9,24,6,1,4
7/11/2021,8,23,6,1,3
7/18/2021,8,27,6,1,3
7/25/2021,9,31,7,1,3
8/1/2021,10,26,10,1,2
