Week,Cryptocurrency_gs,Bitcoin_gs,Ethereum_gs,XRP_gs,Dogecoin_gs
2018-10-07,3,9,1,1,0
2018-10-14,2,9,1,1,0
2018-10-21,2,8,1,1,0
2018-10-28,2,8,1,1,0
2018-11-04,2,8,1,1,0
2018-11-11,2,10,1,1,0
2018-11-18,3,14,1,1,0
2018-11-25,2,15,1,1,0
2018-12-02,2,11,1,1,0
2018-12-09,2,11,1,1,0
2018-12-16,2,12,1,1,0
2018-12-23,2,10,1,1,0
2018-12-30,2,9,1,1,0
2019-01-06,2,9,1,1,0
2019-01-13,2,8,1,0,0
2019-01-20,2,7,1,0,0
2019-01-27,2,8,1,0,0
2019-02-03,2,8,1,0,0
2019-02-10,2,7,1,0,0
2019-02-17,2,8,1,0,0
2019-02-24,2,8,1,1,0
2019-03-03,2,7,1,0,0
2019-03-10,2,7,1,0,0
2019-03-17,2,7,1,0,0
2019-03-24,2,7,1,0,0
2019-03-31,2,12,1,1,0
2019-04-07,2,10,1,0,0
2019-04-14,2,9,1,0,0
2019-04-21,2,10,1,0,0
2019-04-28,2,9,1,0,0
2019-05-05,2,12,1,0,0
2019-05-12,3,20,2,1,0
2019-05-19,3,14,1,1,0
2019-05-26,3,15,1,1,0
2019-06-02,2,12,1,1,0
2019-06-09,2,12,1,1,0
2019-06-16,3,17,1,1,0
2019-06-23,3,26,2,1,0
2019-06-30,3,18,1,1,0
2019-07-07,2,17,2,1,0
2019-07-14,2,17,3,1,0
2019-07-21,2,13,1,0,0
2019-07-28,2,13,1,0,0
2019-08-04,2,15,1,0,0
2019-08-11,2,14,1,0,0
2019-08-18,2,12,1,0,0
2019-08-25,2,37,1,0,0
2019-09-01,2,100,1,0,0
2019-09-08,2,58,1,0,0
2019-09-15,2,51,1,1,0
2019-09-22,2,35,1,0,0
2019-09-29,2,10,1,0,0
2019-10-06,2,10,1,1,0
2019-10-13,2,9,1,1,0
2019-10-20,2,11,1,0,0
2019-10-27,2,11,1,1,0
2019-11-03,2,10,1,1,0
2019-11-10,2,8,1,0,0
2019-11-17,2,10,1,0,0
2019-11-24,2,10,1,0,0
2019-12-01,2,9,1,0,0
2019-12-08,2,8,1,0,0
2019-12-15,2,9,1,0,0
2019-12-22,2,9,1,0,0
2019-12-29,2,9,1,0,0
2020-01-05,2,11,1,1,0
2020-01-12,2,11,1,1,0
2020-01-19,2,10,1,1,0
2020-01-26,2,11,1,1,0
2020-02-02,2,11,1,1,0
2020-02-09,3,13,2,1,0
2020-02-16,2,11,1,1,0
2020-02-23,2,12,1,1,0
2020-03-01,2,11,1,0,0
2020-03-08,2,21,1,1,0
2020-03-15,2,20,1,1,0
2020-03-22,2,15,1,1,0
2020-03-29,2,13,1,0,0
2020-04-05,2,13,1,0,0
2020-04-12,2,13,1,0,0
2020-04-19,2,13,1,0,0
2020-04-26,2,16,2,1,0
2020-05-03,3,18,1,0,0
2020-05-10,3,21,1,0,0
2020-05-17,2,15,1,0,0
2020-05-24,2,13,1,0,0
2020-05-31,2,13,2,0,0
2020-06-07,2,11,1,0,0
2020-06-14,2,11,1,0,0
2020-06-21,2,11,1,0,0
2020-06-28,2,10,1,0,0
2020-07-05,2,10,1,0,1
2020-07-12,3,12,1,0,0
2020-07-19,2,11,2,0,0
2020-07-26,3,17,3,1,0
2020-08-02,3,16,3,1,0
2020-08-09,3,14,3,1,0
2020-08-16,3,13,2,1,0
2020-08-23,3,12,2,1,0
2020-08-30,3,13,3,1,0
2020-09-06,3,12,2,0,0
2020-09-13,3,10,2,0,0
2020-09-20,2,10,2,0,0
2020-09-27,2,9,1,0,0
2020-10-04,2,9,1,0,0
2020-10-11,2,10,1,0,0
2020-10-18,2,14,1,0,0
2020-10-25,2,14,1,0,0
2020-11-01,2,16,2,0,0
2020-11-08,3,15,2,0,0
2020-11-15,3,23,2,1,0
2020-11-22,4,26,4,3,0
2020-11-29,4,22,3,2,0
2020-12-06,3,17,2,2,0
2020-12-13,4,27,3,2,0
2020-12-20,5,28,3,3,1
2020-12-27,6,41,5,3,1
2021-01-03,9,66,12,3,2
2021-01-10,8,64,10,2,1
2021-01-17,7,42,8,2,1
2021-01-24,9,38,8,2,22
2021-01-31,12,35,10,6,16
2021-02-07,15,59,11,3,17
2021-02-14,14,58,10,3,8
2021-02-21,13,63,11,3,5
2021-02-28,10,43,7,1,3
2021-03-07,11,42,7,1,3
2021-03-14,13,43,7,1,3
2021-03-21,12,39,6,2,2
2021-03-28,13,36,8,2,2
2021-04-04,14,33,7,5,2
2021-04-11,21,43,10,8,28
2021-04-18,26,54,10,4,26
2021-04-25,18,41,10,4,12
2021-05-02,27,36,19,4,36
2021-05-09,34,45,20,4,37
2021-05-16,31,79,19,4,17
2021-05-23,21,60,14,3,10
2021-05-30,16,40,10,2,9
2021-06-06,14,43,8,2,6
2021-06-13,11,33,6,1,4
2021-06-20,12,41,8,1,6
2021-06-27,10,30,7,1,4
2021-07-04,9,24,6,1,4
2021-07-11,8,23,6,1,3
2021-07-18,8,27,6,1,3
2021-07-25,9,31,7,1,3
2021-08-01,10,26,10,1,2
