Week,Bitcoin: (United States),Cryptocurrency: (United States)
8/7/2016,2,<1
8/14/2016,2,<1
8/21/2016,2,<1
8/28/2016,2,<1
9/4/2016,2,<1
9/11/2016,2,<1
9/18/2016,2,<1
9/25/2016,2,<1
10/2/2016,2,<1
10/9/2016,2,<1
10/16/2016,2,<1
10/23/2016,2,<1
10/30/2016,2,<1
11/6/2016,2,<1
11/13/2016,2,<1
11/20/2016,2,<1
11/27/2016,2,<1
12/4/2016,2,<1
12/11/2016,2,<1
12/18/2016,3,<1
12/25/2016,3,<1
1/1/2017,5,<1
1/8/2017,4,<1
1/15/2017,3,<1
1/22/2017,3,<1
1/29/2017,3,<1
2/5/2017,3,<1
2/12/2017,3,<1
2/19/2017,4,<1
2/26/2017,4,<1
3/5/2017,5,<1
3/12/2017,4,<1
3/19/2017,3,<1
3/26/2017,3,<1
4/2/2017,3,<1
4/9/2017,3,<1
4/16/2017,3,<1
4/23/2017,3,<1
4/30/2017,5,<1
5/7/2017,6,1
5/14/2017,7,1
5/21/2017,14,1
5/28/2017,8,1
6/4/2017,9,1
6/11/2017,10,2
6/18/2017,8,2
6/25/2017,7,2
7/2/2017,6,1
7/9/2017,6,1
7/16/2017,8,1
7/23/2017,7,1
7/30/2017,9,1
8/6/2017,10,2
8/13/2017,13,2
8/20/2017,10,2
8/27/2017,10,2
9/3/2017,10,2
9/10/2017,13,2
9/17/2017,9,1
9/24/2017,7,1
10/1/2017,7,2
10/8/2017,12,2
10/15/2017,12,2
10/22/2017,13,2
10/29/2017,18,2
11/5/2017,18,2
11/12/2017,20,3
11/19/2017,19,3
11/26/2017,51,6
12/3/2017,75,8
12/10/2017,68,12
12/17/2017,80,14
12/24/2017,48,10
12/31/2017,36,15
1/7/2018,34,15
1/14/2018,43,14
1/21/2018,28,9
1/28/2018,30,9
2/4/2018,35,9
2/11/2018,19,5
2/18/2018,16,5
2/25/2018,14,4
3/4/2018,13,4
3/11/2018,14,4
3/18/2018,13,3
3/25/2018,13,3
4/1/2018,12,3
4/8/2018,11,3
4/15/2018,10,3
4/22/2018,10,3
4/29/2018,9,3
5/6/2018,9,3
5/13/2018,8,3
5/20/2018,8,2
5/27/2018,8,2
6/3/2018,7,2
6/10/2018,10,3
6/17/2018,8,2
6/24/2018,8,2
7/1/2018,7,2
7/8/2018,7,2
7/15/2018,8,2
7/22/2018,9,2
7/29/2018,8,2
8/5/2018,8,2
8/12/2018,8,2
8/19/2018,7,2
8/26/2018,6,2
9/2/2018,8,2
9/9/2018,7,2
9/16/2018,6,2
9/23/2018,5,2
9/30/2018,5,1
10/7/2018,5,2
10/14/2018,5,1
10/21/2018,5,2
10/28/2018,5,1
11/4/2018,5,1
11/11/2018,6,2
11/18/2018,10,2
11/25/2018,10,2
12/2/2018,8,2
12/9/2018,8,1
12/16/2018,8,2
12/23/2018,7,1
12/30/2018,6,1
1/6/2019,6,1
1/13/2019,5,1
1/20/2019,5,1
1/27/2019,4,1
2/3/2019,5,2
2/10/2019,4,1
2/17/2019,5,1
2/24/2019,5,1
3/3/2019,4,1
3/10/2019,4,1
3/17/2019,5,1
3/24/2019,4,1
3/31/2019,8,2
4/7/2019,7,1
4/14/2019,6,1
4/21/2019,6,1
4/28/2019,5,1
5/5/2019,8,1
5/12/2019,14,2
5/19/2019,10,2
5/26/2019,10,2
6/2/2019,8,2
6/9/2019,7,2
6/16/2019,12,3
6/23/2019,20,3
6/30/2019,11,2
7/7/2019,11,2
7/14/2019,11,2
7/21/2019,8,1
7/28/2019,7,1
8/4/2019,9,1
8/11/2019,8,1
8/18/2019,7,1
8/25/2019,37,1
9/1/2019,100,1
9/8/2019,61,1
9/15/2019,55,1
9/22/2019,29,1
9/29/2019,6,1
10/6/2019,6,1
10/13/2019,5,1
10/20/2019,7,1
10/27/2019,6,1
11/3/2019,5,1
11/10/2019,5,1
11/17/2019,6,1
11/24/2019,6,1
12/1/2019,5,1
12/8/2019,5,1
12/15/2019,6,1
12/22/2019,5,1
12/29/2019,5,1
1/5/2020,6,1
1/12/2020,7,1
1/19/2020,6,1
1/26/2020,6,1
2/2/2020,7,1
2/9/2020,8,2
2/16/2020,7,1
2/23/2020,7,1
3/1/2020,6,1
3/8/2020,11,2
3/15/2020,11,1
3/22/2020,8,1
3/29/2020,7,1
4/5/2020,7,1
4/12/2020,7,1
4/19/2020,7,1
4/26/2020,9,1
5/3/2020,11,2
5/10/2020,12,2
5/17/2020,8,2
5/24/2020,7,1
5/31/2020,8,1
