Week,Cryptocurrency,Bitcoin,Ethereum,Bitcoin Cash,Dogecoin
8/14/2016,<1,3,<1,<1,<1
8/21/2016,<1,3,<1,<1,<1
8/28/2016,<1,3,<1,<1,<1
9/4/2016,<1,3,<1,<1,<1
9/11/2016,<1,3,<1,<1,<1
9/18/2016,<1,3,<1,<1,<1
9/25/2016,<1,3,<1,<1,<1
10/2/2016,<1,3,<1,<1,<1
10/9/2016,<1,3,<1,<1,<1
10/16/2016,<1,3,<1,<1,<1
10/23/2016,<1,3,<1,<1,<1
10/30/2016,<1,4,<1,<1,<1
11/6/2016,<1,3,<1,<1,<1
11/13/2016,<1,3,<1,<1,<1
11/20/2016,<1,3,<1,<1,<1
11/27/2016,<1,4,<1,<1,<1
12/4/2016,<1,3,<1,<1,<1
12/11/2016,<1,3,<1,<1,<1
12/18/2016,<1,4,<1,<1,<1
12/25/2016,<1,5,<1,<1,<1
1/1/2017,<1,7,<1,<1,<1
1/8/2017,<1,6,<1,<1,<1
1/15/2017,<1,5,<1,<1,<1
1/22/2017,<1,4,<1,<1,<1
1/29/2017,<1,4,<1,<1,<1
2/5/2017,<1,5,<1,<1,<1
2/12/2017,<1,4,<1,<1,<1
2/19/2017,<1,5,<1,<1,<1
2/26/2017,<1,6,1,<1,<1
3/5/2017,<1,7,1,<1,<1
3/12/2017,1,6,1,<1,<1
3/19/2017,1,6,1,<1,<1
3/26/2017,1,5,1,<1,<1
4/2/2017,1,5,1,<1,<1
4/9/2017,1,5,1,<1,<1
4/16/2017,1,5,1,<1,<1
4/23/2017,1,5,1,<1,<1
4/30/2017,1,7,2,<1,<1
5/7/2017,1,10,1,<1,<1
5/14/2017,1,11,1,<1,<1
5/21/2017,2,18,4,<1,<1
5/28/2017,2,12,3,<1,<1
6/4/2017,2,12,4,<1,<1
6/11/2017,2,14,7,<1,<1
6/18/2017,2,11,5,<1,<1
6/25/2017,2,11,5,<1,<1
7/2/2017,2,9,3,<1,<1
7/9/2017,2,10,4,<1,<1
7/16/2017,2,12,4,<1,<1
7/23/2017,2,11,3,<1,<1
7/30/2017,2,13,2,3,<1
8/6/2017,2,13,3,1,<1
8/13/2017,3,19,3,1,<1
8/20/2017,3,15,3,1,<1
8/27/2017,3,16,3,<1,<1
9/3/2017,3,17,3,<1,<1
9/10/2017,3,20,3,<1,<1
9/17/2017,2,15,2,<1,<1
9/24/2017,2,12,2,<1,<1
10/1/2017,2,12,2,<1,<1
10/8/2017,3,18,2,<1,<1
10/15/2017,3,19,3,<1,<1
10/22/2017,3,20,2,<1,<1
10/29/2017,3,25,3,1,<1
11/5/2017,3,26,3,1,<1
11/12/2017,4,27,3,3,<1
11/19/2017,4,25,4,1,<1
11/26/2017,7,57,6,1,<1
12/3/2017,9,82,7,1,1
12/10/2017,12,75,9,1,1
12/17/2017,15,86,8,6,1
12/24/2017,12,58,6,1,1
12/31/2017,17,44,7,1,1
1/7/2018,17,44,10,1,2
1/14/2018,16,54,8,1,1
1/21/2018,10,36,5,1,1
1/28/2018,11,37,5,<1,1
2/4/2018,10,44,5,1,<1
2/11/2018,7,26,3,<1,<1
2/18/2018,7,23,3,<1,<1
2/25/2018,5,18,2,<1,<1
3/4/2018,5,18,2,<1,<1
3/11/2018,5,18,2,<1,<1
3/18/2018,5,17,2,<1,<1
3/25/2018,4,16,2,<1,<1
4/1/2018,4,16,2,<1,<1
