Week,Cryptocurrency,Bitcoin,Ethereum,Bitcoin Cash,Dogecoin
2018-10-07,2,8,1,0,0
2018-10-14,2,9,1,0,0
2018-10-21,2,8,1,0,0
2018-10-28,2,8,1,0,0
2018-11-04,2,8,1,1,0
2018-11-11,2,10,1,1,0
2018-11-18,3,13,1,1,0
2018-11-25,2,13,1,0,0
2018-12-02,2,11,1,0,0
2018-12-09,2,10,1,0,0
2018-12-16,2,11,1,0,0
2018-12-23,2,10,1,0,0
2018-12-30,2,8,1,0,0
2019-01-06,2,9,1,0,0
2019-01-13,2,8,1,0,0
2019-01-20,2,7,1,0,0
2019-01-27,2,7,1,0,0
2019-02-03,2,8,1,0,0
2019-02-10,2,7,1,0,0
2019-02-17,2,8,1,0,0
2019-02-24,2,8,1,0,0
2019-03-03,2,7,1,0,0
2019-03-10,2,7,1,0,0
2019-03-17,2,7,1,0,0
2019-03-24,2,7,1,0,0
2019-03-31,2,11,1,0,0
2019-04-07,2,10,1,0,0
2019-04-14,2,8,1,0,0
2019-04-21,2,9,1,0,0
2019-04-28,2,8,1,0,0
2019-05-05,2,11,1,0,0
2019-05-12,3,19,2,0,0
2019-05-19,3,14,1,0,0
2019-05-26,2,14,1,0,0
2019-06-02,2,12,1,0,0
2019-06-09,2,11,1,0,0
2019-06-16,3,17,1,0,0
2019-06-23,3,25,2,0,0
2019-06-30,2,17,1,0,0
2019-07-07,2,16,2,0,0
2019-07-14,2,16,2,0,0
2019-07-21,2,12,1,0,0
2019-07-28,2,12,1,0,0
2019-08-04,2,14,1,0,0
2019-08-11,2,13,1,0,0
2019-08-18,2,12,1,0,0
2019-08-25,2,36,1,0,0
2019-09-01,2,100,1,0,0
2019-09-08,2,55,1,0,0
2019-09-15,2,51,1,0,0
2019-09-22,2,33,1,0,0
2019-09-29,2,10,1,0,0
2019-10-06,2,9,1,0,0
2019-10-13,2,9,1,0,0
2019-10-20,2,11,1,0,0
2019-10-27,2,11,1,0,0
2019-11-03,2,9,1,0,0
2019-11-10,2,8,1,0,0
2019-11-17,2,10,1,0,0
2019-11-24,2,10,1,0,0
2019-12-01,2,8,1,0,0
2019-12-08,2,8,1,0,0
2019-12-15,2,9,1,0,0
2019-12-22,2,9,1,0,0
2019-12-29,2,9,1,0,0
2020-01-05,2,11,1,0,0
2020-01-12,2,11,1,0,0
2020-01-19,2,10,1,0,0
2020-01-26,2,10,1,0,0
2020-02-02,2,11,1,0,0
2020-02-09,2,13,2,0,0
2020-02-16,2,11,1,0,0
2020-02-23,2,11,1,0,0
2020-03-01,2,10,1,0,0
2020-03-08,2,19,1,0,0
2020-03-15,2,19,1,0,0
2020-03-22,2,15,1,0,0
2020-03-29,2,13,1,0,0
2020-04-05,2,13,1,0,0
2020-04-12,2,12,1,0,0
2020-04-19,2,12,1,0,0
2020-04-26,2,15,1,0,0
2020-05-03,2,17,1,0,0
2020-05-10,3,20,1,0,0
2020-05-17,2,15,1,0,0
2020-05-24,2,13,1,0,0
2020-05-31,2,13,2,0,0
2020-06-07,2,11,1,0,0
2020-06-14,2,10,1,0,0
2020-06-21,2,10,1,0,0
2020-06-28,2,10,1,0,0
2020-07-05,2,10,1,0,1
2020-07-12,3,11,1,0,0
2020-07-19,2,10,2,0,0
2020-07-26,3,17,3,0,0
2020-08-02,3,15,3,0,0
2020-08-09,3,13,3,0,0
2020-08-16,3,13,2,0,0
2020-08-23,3,11,2,0,0
2020-08-30,3,12,3,0,0
2020-09-06,3,11,2,0,0
2020-09-13,3,10,2,0,0
2020-09-20,2,9,2,0,0
2020-09-27,2,9,1,0,0
2020-10-04,2,9,1,0,0
2020-10-11,2,10,1,0,0
2020-10-18,2,13,1,0,0
2020-10-25,2,14,1,0,0
2020-11-01,2,15,2,0,0
2020-11-08,3,16,2,0,0
2020-11-15,3,22,2,0,0
2020-11-22,4,24,4,0,0
2020-11-29,4,20,3,0,0
2020-12-06,3,16,2,0,0
2020-12-13,4,26,3,0,0
2020-12-20,4,27,3,0,1
2020-12-27,5,40,5,0,1
2021-01-03,9,65,12,1,2
2021-01-10,8,62,9,1,1
2021-01-17,7,41,8,0,1
2021-01-24,9,37,8,0,21
2021-01-31,12,34,10,0,15
2021-02-07,15,56,11,1,17
2021-02-14,14,56,10,1,7
2021-02-21,13,62,10,0,5
2021-02-28,10,41,7,0,3
2021-03-07,11,41,8,0,3
2021-03-14,12,40,7,0,3
2021-03-21,11,37,6,0,2
2021-03-28,12,36,8,0,2
2021-04-04,15,32,7,0,2
2021-04-11,20,41,10,1,26
2021-04-18,25,52,10,1,25
2021-04-25,18,40,10,0,11
2021-05-02,26,35,18,1,35
2021-05-09,31,43,20,1,35
2021-05-16,30,74,18,1,16
2021-05-23,20,58,14,0,9
2021-05-30,15,40,9,0,9
