Week,Cryptocurrency_yt,Bitcoin_yt,Ethereum_yt,XRP_yt,Dogecoin_yt
10/7/2018,6,15,1,2,<1
10/14/2018,7,15,1,2,1
10/21/2018,6,15,1,2,<1
10/28/2018,6,15,1,2,<1
11/4/2018,6,14,1,2,<1
11/11/2018,7,16,1,2,1
11/18/2018,7,17,1,2,<1
11/25/2018,7,17,1,2,<1
12/2/2018,6,15,1,2,<1
12/9/2018,7,14,1,2,<1
12/16/2018,8,15,1,2,<1
12/23/2018,6,13,1,2,<1
12/30/2018,6,13,1,2,<1
1/6/2019,7,14,1,1,<1
1/13/2019,6,14,1,1,<1
1/20/2019,5,13,1,1,<1
1/27/2019,5,13,1,1,<1
2/3/2019,5,13,1,1,<1
2/10/2019,5,12,1,1,<1
2/17/2019,6,14,1,1,<1
2/24/2019,5,12,1,1,<1
3/3/2019,5,12,1,1,<1
3/10/2019,5,12,1,1,<1
3/17/2019,5,11,1,1,<1
3/24/2019,5,12,1,1,<1
3/31/2019,6,14,1,1,<1
4/7/2019,6,14,1,1,<1
4/14/2019,6,12,1,1,<1
4/21/2019,6,14,1,1,<1
4/28/2019,5,14,1,1,<1
5/5/2019,6,17,1,1,<1
5/12/2019,9,23,2,2,<1
5/19/2019,9,27,4,2,1
5/26/2019,9,26,4,3,1
6/2/2019,7,16,1,2,<1
6/9/2019,7,16,1,1,<1
6/16/2019,8,20,1,2,<1
6/23/2019,9,24,1,3,<1
6/30/2019,8,19,1,2,<1
7/7/2019,7,18,1,2,<1
7/14/2019,7,18,1,2,<1
7/21/2019,6,15,1,2,<1
7/28/2019,6,15,1,2,<1
8/4/2019,6,17,1,2,<1
8/11/2019,6,16,1,2,<1
8/18/2019,5,15,1,2,<1
8/25/2019,5,15,1,2,<1
9/1/2019,5,14,1,2,<1
9/8/2019,6,15,1,2,<1
9/15/2019,8,14,1,2,<1
9/22/2019,8,16,1,2,<1
9/29/2019,12,14,1,2,<1
10/6/2019,7,13,1,2,<1
10/13/2019,6,13,1,2,<1
10/20/2019,6,14,1,2,<1
10/27/2019,6,14,1,2,<1
11/3/2019,6,13,1,3,<1
11/10/2019,6,13,1,2,<1
11/17/2019,5,14,1,2,<1
11/24/2019,5,13,1,2,<1
12/1/2019,5,13,1,2,<1
12/8/2019,5,12,1,2,<1
12/15/2019,5,12,1,2,<1
12/22/2019,5,13,1,2,<1
12/29/2019,6,13,1,2,<1
1/5/2020,6,15,1,2,<1
1/12/2020,6,15,1,2,<1
1/19/2020,6,14,1,3,<1
1/26/2020,6,15,1,2,<1
2/2/2020,7,14,1,3,<1
2/9/2020,8,17,2,3,<1
2/16/2020,7,15,1,2,<1
2/23/2020,6,15,1,2,<1
3/1/2020,7,15,1,2,1
3/8/2020,7,19,1,2,<1
3/15/2020,7,16,1,2,<1
3/22/2020,6,14,1,2,<1
3/29/2020,6,14,1,2,<1
4/5/2020,6,15,1,2,<1
4/12/2020,7,16,1,2,<1
4/19/2020,7,16,1,2,<1
4/26/2020,8,20,2,3,<1
5/3/2020,8,19,1,3,<1
5/10/2020,8,22,1,3,<1
5/17/2020,8,18,1,3,<1
5/24/2020,8,17,1,3,<1
5/31/2020,7,16,2,3,<1
6/7/2020,7,16,1,3,<1
6/14/2020,7,15,1,3,<1
6/21/2020,7,15,2,3,<1
6/28/2020,7,14,2,3,<1
7/5/2020,8,15,2,3,1
7/12/2020,8,15,2,3,1
7/19/2020,8,16,2,3,1
7/26/2020,10,19,4,4,<1
8/2/2020,9,18,3,4,<1
8/9/2020,9,17,2,4,<1
8/16/2020,10,16,2,4,<1
8/23/2020,10,15,2,4,<1
8/30/2020,9,17,2,4,<1
9/6/2020,8,16,2,4,<1
9/13/2020,8,15,2,4,<1
9/20/2020,8,15,1,4,<1
9/27/2020,7,14,1,3,<1
10/4/2020,7,14,1,3,<1
10/11/2020,6,15,1,3,<1
10/18/2020,7,17,1,3,<1
10/25/2020,7,16,1,3,<1
11/1/2020,8,18,1,3,<1
11/8/2020,9,18,2,3,1
11/15/2020,10,22,2,4,<1
11/22/2020,13,25,3,9,1
11/29/2020,11,24,3,7,1
12/6/2020,10,21,2,7,1
12/13/2020,12,28,2,7,<1
12/20/2020,13,28,3,12,1
12/27/2020,15,36,4,12,1
1/3/2021,25,63,11,10,3
1/10/2021,26,58,10,10,2
1/17/2021,24,45,9,8,1
1/24/2021,27,45,9,9,17
1/31/2021,35,45,12,18,16
2/7/2021,48,62,13,12,19
2/14/2021,48,64,12,14,10
2/21/2021,47,72,13,14,7
2/28/2021,39,51,9,11,5
3/7/2021,43,50,9,11,6
3/14/2021,50,54,9,11,5
3/21/2021,45,55,8,12,4
3/28/2021,49,50,10,10,4
4/4/2021,58,58,9,20,4
4/11/2021,70,63,16,26,34
4/18/2021,78,80,12,19,39
4/25/2021,65,62,12,18,19
5/2/2021,84,57,20,19,57
5/9/2021,100,69,21,19,60
5/16/2021,97,90,16,19,25
5/23/2021,72,72,12,15,16
5/30/2021,57,56,9,15,19
