Week,Cryptocurrency_yt,Bitcoin_yt,Ethereum_yt,XRP_yt,Dogecoin_yt
2018-10-07,6,15,1,2,0
2018-10-14,7,15,1,2,1
2018-10-21,6,15,1,2,0
2018-10-28,6,15,1,2,0
2018-11-04,6,14,1,2,0
2018-11-11,7,16,1,2,1
2018-11-18,7,17,1,2,0
2018-11-25,7,17,1,2,0
2018-12-02,6,15,1,2,0
2018-12-09,7,14,1,2,0
2018-12-16,8,15,1,2,0
2018-12-23,6,13,1,2,0
2018-12-30,6,13,1,2,0
2019-01-06,7,14,1,1,0
2019-01-13,6,14,1,1,0
2019-01-20,5,13,1,1,0
2019-01-27,5,13,1,1,0
2019-02-03,5,13,1,1,0
2019-02-10,5,12,1,1,0
2019-02-17,6,14,1,1,0
2019-02-24,5,12,1,1,0
2019-03-03,5,12,1,1,0
2019-03-10,5,12,1,1,0
2019-03-17,5,11,1,1,0
2019-03-24,5,12,1,1,0
2019-03-31,6,14,1,1,0
2019-04-07,6,14,1,1,0
2019-04-14,6,12,1,1,0
2019-04-21,6,14,1,1,0
2019-04-28,5,14,1,1,0
2019-05-05,6,17,1,1,0
2019-05-12,9,23,2,2,0
2019-05-19,9,27,4,2,1
2019-05-26,9,26,4,3,1
2019-06-02,7,16,1,2,0
2019-06-09,7,16,1,1,0
2019-06-16,8,20,1,2,0
2019-06-23,9,24,1,3,0
2019-06-30,8,19,1,2,0
2019-07-07,7,18,1,2,0
2019-07-14,7,18,1,2,0
2019-07-21,6,15,1,2,0
2019-07-28,6,15,1,2,0
2019-08-04,6,17,1,2,0
2019-08-11,6,16,1,2,0
2019-08-18,5,15,1,2,0
2019-08-25,5,15,1,2,0
2019-09-01,5,14,1,2,0
2019-09-08,6,15,1,2,0
2019-09-15,8,14,1,2,0
2019-09-22,8,16,1,2,0
2019-09-29,12,14,1,2,0
2019-10-06,7,13,1,2,0
2019-10-13,6,13,1,2,0
2019-10-20,6,14,1,2,0
2019-10-27,6,14,1,2,0
2019-11-03,6,13,1,3,0
2019-11-10,6,13,1,2,0
2019-11-17,5,14,1,2,0
2019-11-24,5,13,1,2,0
2019-12-01,5,13,1,2,0
2019-12-08,5,12,1,2,0
2019-12-15,5,12,1,2,0
2019-12-22,5,13,1,2,0
2019-12-29,6,13,1,2,0
2020-01-05,6,15,1,2,0
2020-01-12,6,15,1,2,0
2020-01-19,6,14,1,3,0
2020-01-26,6,15,1,2,0
2020-02-02,7,14,1,3,0
2020-02-09,8,17,2,3,0
2020-02-16,7,15,1,2,0
2020-02-23,6,15,1,2,0
2020-03-01,7,15,1,2,1
2020-03-08,7,19,1,2,0
2020-03-15,7,16,1,2,0
2020-03-22,6,14,1,2,0
2020-03-29,6,14,1,2,0
2020-04-05,6,15,1,2,0
2020-04-12,7,16,1,2,0
2020-04-19,7,16,1,2,0
2020-04-26,8,20,2,3,0
2020-05-03,8,19,1,3,0
2020-05-10,8,22,1,3,0
2020-05-17,8,18,1,3,0
2020-05-24,8,17,1,3,0
2020-05-31,7,16,2,3,0
2020-06-07,7,16,1,3,0
2020-06-14,7,15,1,3,0
2020-06-21,7,15,2,3,0
2020-06-28,7,14,2,3,0
2020-07-05,8,15,2,3,1
2020-07-12,8,15,2,3,1
2020-07-19,8,16,2,3,1
2020-07-26,10,19,4,4,0
2020-08-02,9,18,3,4,0
2020-08-09,9,17,2,4,0
2020-08-16,10,16,2,4,0
2020-08-23,10,15,2,4,0
2020-08-30,9,17,2,4,0
2020-09-06,8,16,2,4,0
2020-09-13,8,15,2,4,0
2020-09-20,8,15,1,4,0
2020-09-27,7,14,1,3,0
2020-10-04,7,14,1,3,0
2020-10-11,6,15,1,3,0
2020-10-18,7,17,1,3,0
2020-10-25,7,16,1,3,0
2020-11-01,8,18,1,3,0
2020-11-08,9,18,2,3,1
2020-11-15,10,22,2,4,0
2020-11-22,13,25,3,9,1
2020-11-29,11,24,3,7,1
2020-12-06,10,21,2,7,1
2020-12-13,12,28,2,7,0
2020-12-20,13,28,3,12,1
2020-12-27,15,36,4,12,1
2021-01-03,25,63,11,10,3
2021-01-10,26,58,10,10,2
2021-01-17,24,45,9,8,1
2021-01-24,27,45,9,9,17
2021-01-31,35,45,12,18,16
2021-02-07,48,62,13,12,19
2021-02-14,48,64,12,14,10
2021-02-21,47,72,13,14,7
2021-02-28,39,51,9,11,5
2021-03-07,43,50,9,11,6
2021-03-14,50,54,9,11,5
2021-03-21,45,55,8,12,4
2021-03-28,49,50,10,10,4
2021-04-04,58,58,9,20,4
2021-04-11,70,63,16,26,34
2021-04-18,78,80,12,19,39
2021-04-25,65,62,12,18,19
2021-05-02,84,57,20,19,57
2021-05-09,100,69,21,19,60
2021-05-16,97,90,16,19,25
2021-05-23,72,72,12,15,16
2021-05-30,57,56,9,15,19
